Time,Height
0.000000000000000000e+00,0.000000000000000000e+00
3.004260482251400188e-01,1.017909543070142675e+01
6.008520964502800377e-01,1.947305212829838084e+01
9.012781446754201120e-01,2.788187009279086581e+01
1.201704192900560075e+00,3.540554932417887812e+01
1.502130241125700039e+00,4.204408982246241777e+01
1.802556289350840224e+00,4.779749158764148120e+01
2.102982337575979965e+00,5.266575461971607552e+01
2.403408385801120151e+00,5.664887891868620784e+01
2.703834434026260336e+00,5.974686448455185683e+01
3.004260482251400077e+00,6.195971131731304382e+01
3.304686530476540263e+00,6.328741941696973328e+01
3.605112578701680448e+00,6.372998878352196783e+01
3.905538626926820189e+00,6.328741941696972617e+01
4.205964675151959931e+00,6.195971131731303672e+01
4.506390723377100116e+00,5.974686448455184973e+01
4.806816771602240301e+00,5.664887891868620784e+01
5.107242819827380487e+00,5.266575461971608263e+01
5.407668868052520672e+00,4.779749158764147410e+01
5.708094916277659969e+00,4.204408982246243909e+01
6.008520964502800155e+00,3.540554932417890655e+01
6.308947012727940340e+00,2.788187009279084805e+01
6.609373060953080525e+00,1.947305212829834886e+01
6.909799109178220711e+00,1.017909543070140899e+01
7.210225157403360896e+00,-5.684341886080801487e-14
